"Name"	"Champion"	"Kind"	"Effect Text"
"90 Caliber Net"	"Caitlyn"	""	"(Active): Caitlyn fires a heavy net in front of her, knocking herself back in the opposite direction. The net will slow down the first target hit by 50% and will deal magic damage to it.
Cost: 75 mana
Range: 1000
Knockback Distance: 400


Cooldown: 18 / 16 / 14 / 12 / 10 seconds
Total Magic Damage: 80 / 130 / 180 / 230 / 280 (+0.8 per ability power)
Slow Duration: 1 / 1.25 / 1.5 / 1.75 / 2 seconds"
"Ace in the Hole"	"Caitlyn"	""	"(Active): Caitlyn marks an enemy champion at a huge range and channels for 2 seconds to line up the perfect shot, providing vision of the target for the duration. She then fires the projectile to deal massive physical damage. Enemy champions can intercept the bullet for their ally.
Cost: 100 mana
Projectile Speed: 3200


Cooldown: 90 / 75 / 60 seconds
Range: 1900 / 2050 / 2200
Physical Damage: 250 / 475 / 700 (+2.0 per bonus attack damage)"
"Deadly Cadence"	"Cassiopeia"	"Champion Passive"	"(Innate): After casting a spell, any subsequent spellcasts will cost 10% less for 5 seconds. This ability stacks up to 5 times."
"Noxious Blast"	"Cassiopeia"	""	"(Active): After a brief delay, Cassiopeia blasts a small target area with an explosion of poison. All targets hit are poisoned and dealt magic damage over 3 seconds. Cassiopeia is granted a movement speed boost for 3 seconds if she hits a champion with the spell.
Cooldown: 3 seconds
Delay: 0.6 seconds
Range: 850
Radius of AoE: 75


Cost: 35 / 45 / 55 / 65 / 75 mana
Total Magic Damage: 75 / 115 / 155 / 195 / 235 (+0.9 per ability power)
Magic Damage Per Second: 25 / 38 / 52 / 65 / 78 (+0.3 per ability power)
Movement Speed Boost: 15 / 17.5 / 20 / 22.5 / 25 %"
"Miasma"	"Cassiopeia"	""	"(Active): Cassiopeia throws a growing cloud of poison to a target location. The area lasts for 7 seconds and provides vision over it for the duration. Any enemy that passes through it is poisoned for 2 seconds that is renewed by continual exposure. Poisoned enemies receive magic damage each second and are slowed.
Cooldown: 9 seconds
Range to Center of AoE: 850
Radius of Aoe: 100-175


Cost: 70 / 80 / 90 / 100 / 110 mana
Magic Damage Per Second: 25 / 35 / 45 / 55 / 65 (+0.15 per ability power)
Slow: 15 / 20 / 25 / 30 / 35 %"
"Twin Fang"	"Cassiopeia"	""	"(Active): Cassiopeia deals magic damage to her target. If the target is poisoned when hit then Twin Fang's cooldown is reduced to 0.5 seconds.
Cooldown: 5 seconds
Range: 700


Cost: 50 / 60 / 70 / 80 / 90 mana
Magic Damage: 60 / 95 / 130 / 165 / 200 (+0.55 per ability power)"
"Petrifying Gaze"	"Cassiopeia"	""	"(Active): Cassiopeia deals magic damage to all enemies in a cone in front of her. Enemies facing her when damaged are stunned for 2 seconds, while enemies facing away are slowed by 60% for the same duration.
Range: 850
Cone Angle: ~83º


Cost: 120 / 160 / 200 mana
Cooldown: 130 / 120 / 110 seconds
Magic Damage: 200 / 325 / 450 (+0.6 per ability power)"
"Hextech Shrapnel Shells"	"Corki"	"Champion Passive"	"(Innate): Corki's autoattacks deal 10% of his total physical damage before armor adjustment, as additional true damage to minions, monsters, and champions."
"Phosphorus Bomb"	"Corki"	""	"(Active): Corki blasts a target area, revealing it for 6 seconds and dealing magic damage to all enemies hit. Any champions hit will also be revealed for 6 seconds.
Cooldown: 8 seconds.
Range to Center of AoE: 600
Radius of AoE: 150


Cost: 80 / 90 / 100 / 110 / 120 mana
Magic Damage: 80 / 130 / 180 / 230 / 280 (+0.5 per ability power)"
"Valkyrie"	"Corki"	""	"(Active): Corki surges to target location with a speed of 650, dropping bombs on its path that create a trail of fiery destruction for 2.5 seconds. Opponents take damage each half second they stay in the trail.
Cost: 100 mana
Range: 800


Cooldown: 20 / 18 / 16 / 14 / 12 seconds
Magic Damage Per Second: 60 / 90 / 120 / 150 / 180 (+0.4 per ability power)"
"Gatling Gun"	"Corki"	""	"(Active): Corki's gatling gun begins firing at enemies in front of him automatically every half second for 4 seconds, dealing physical damage and shredding the armor of enemies who are under continuous fire. Armor reduction stacks and lasts 2 seconds. Corki can keep attacking and using other abilities while Gatling Gun is in effect.
Cooldown: 16 seconds
Range: 600


Cost: 60 / 70 / 80 / 90 / 100 mana
Physical Damage Per Second: 20 / 32 / 44 / 56 / 68 (+0.4 per bonus attack damage)
Armor Reduction: 1 / 2 / 3 / 4 / 5"
"Missile Barrage"	"Corki"	""	"(Active): Corki fires a missile in a line that will explode and deal magic damage in an area upon colliding with the first enemy it hits.
Corki can only fire a missile if he has missiles stored, and can store up to 7 missiles. Corki stores one missile every 10 seconds, the time to respawn a missile is affected by cooldown reduction and does not progress while having maximum missiles. Every fourth missile fired will be marked as a Big One, dealing 50% more damage than normal missiles and the explosion has a broader radius. After dying, Corki will respawn with 4 missiles.

Cooldown: 1.2 seconds
Range: 1,200
Radius of AoE: Regular (150); Big ones (300)


Cost: 30 / 35 / 40 mana
Magic Damage: 120 / 190 / 260   (+0.3 per ability power) (+0.2 per attack damage)"
"Adrenaline Rush"	"Dr. Mundo"	"Champion Passive"	"(Innate): Dr. Mundo is granted 0.3% of his maximum health as bonus health regeneration per second."
