"Name"	"Health"	"Health Per Level"	"Health regen."	"Health regen. Per Level"	"Mana"	"Mana Per Level"	"Mana regen."	"Mana regen. Per Level"	"Attack damage"	"Attack damage Per Level"	"Attack speed"	"Attack speed Per Level"	"Armor"	"Armor Per Level"	"Magic res"	"Magic res Per Level"	"Mov. speed"	"Range"	"Energy"	"Energy regen."
"Master_Yi"	"444"	"86"	"6.75"	"0.65"	"199"	"36"	"6.5"	"0.45"	"55.12"	"3.1"	"0.679"	"2.98%"	"16.3"	"3.7"	"30"	"1.25"	"330"	"125"	""	""
"Mordekaiser"	"421"	"80"	"7.45"	"0.55"	"N/A"	""	"N/A"	""	"51.7"	"3.5"	"0.694"	"3.0%"	"15"	"3.5"	"30"	"1.25"	"315"	"125"	""	""
"Nidalee"	"370"	"90"	"5.0"	"0.6"	"220"	"45"	"7.0"	"0.5"	"49"	"3.5"	"0.672"	"3.22%"	"11"	"3.5"	"30"	"0.75"	"310"	"525"	""	""
"Nocturne"	"430"	"85"	"7.0"	"0.75"	"215"	"35"	"6.0"	"0.45"	"54"	"3.1"	"0.668"	"2.7%"	"17"	"3.5"	"30"	"1.25"	"320"	"125"	""	""
"Olaf"	"441"	"93"	"7.0"	"0.9"	"225"	"45"	"6.5"	"0.575"	"54.1"	"3.5"	"0.694"	"2.7%"	"17"	"3"	"30"	"1.25"	"320"	"125"	""	""
"Orianna"	"385"	"79"	"5.95"	"0.55"	"250"	"50"	"7.0"	"0.5"	"44"	"2.6"	"0.658"	"3.5%"	"8"	"3"	"30"	"0"	"300"	"525"	""	""
"Pantheon"	"433"	"87"	"6.75"	"0.65"	"210"	"34"	"6.6"	"0.45"	"50.7"	"2.9"	"0.679"	"2.95%"	"17.1"	"3.9"	"30"	"1.25"	"330"	"150"	""	""
"Poppy"	"423"	"81"	"7.45"	"0.55"	"185"	"30"	"6.4"	"0.45"	"56.3"	"3.375"	"0.638"	"3.35%"	"18"	"4"	"30"	"0"	"320"	"125"	""	""
"Nunu"	"437"	"108"	"7.05"	"0.8"	"213"	"42"	"6.6"	"0.5"	"51.6"	"3.4"	"0.625"	"2.25%"	"16.5"	"3.5"	"30"	"0"	"315"	"125"	""	""
"Karma"	"410"	"86"	"4.7"	"0.55"	"240"	"60"	"6.8"	"0.65"	"50"	"3.3"	"0.625"	"2.3%"	"15"	"3.5"	"30"	"0"	"310"	"425"	""	""
"Cho\'Gath"	"440"	"80"	"7.5"	"0.85"	"205"	"40"	"6.15"	"0.45"	"54.1"	"4.2"	"0.625"	"1.44%"	"19"	"3.5"	"30"	"0"	"315"	"130"	""	""
"Maokai"	"421"	"90"	"7.25"	"0.85"	"250"	"46"	"6.45"	"0.45"	"58"	"3.3"	"0.694"	"2.13%"	"18"	"4"	"30"	"0"	"310"	"125"	""	""
"Miss_Fortune"	"435"	"85"	"5.1"	"0.65"	"212"	"38"	"6.95"	"0.65"	"46.5"	"3"	"0.658"	"3.01%"	"15"	"3"	"30"	"0"	"300"	"550"	""	""
"Nasus"	"410"	"90"	"7.5"	"0.9"	"200"	"45"	"6.6"	"0.5"	"53.3"	"3.5"	"0.638"	"3.48%"	"15"	"3.5"	"30"	"1.25"	"325"	"125"	""	""
"Singed"	"366"	"82"	"7.1"	"0.55"	"215"	"45"	"6.6"	"0.55"	"56.65"	"3.375"	"0.613"	"1.81%"	"18"	"3.5"	"30"	"0"	"320"	"125"	""	""
"Shen"	"428"	"85"	"7.45"	"0.55"	"85"	""	""	""	"54.5"	"3.375"	"0.651"	"3.4%"	"19"	"4"	"30"	"0"	"310"	"125"	"200"	"50"
"Sion"	"403"	"104"	"7.9"	"0.95"	"240"	"40"	"6.3"	"0.4"	"55.52"	"3.1875"	"0.625"	"1.63%"	"17.75"	"3.25"	"30"	"1.25"	"320"	"125"	""	""
"Sivir"	"378"	"82"	"4.25"	"0.55"	"203"	"43"	"6.5"	"0.5"	"49"	"2.9"	"0.658"	"3.28%"	"12.75"	"3.25"	"30"	"0"	"310"	"500"	""	""
"Skarner"	"440"	"96"	"7.5"	"0.85"	"205"	"40"	"6.45"	"0.45"	"54.1"	"4.2"	"0.625"	"2.1%"	"19"	"3.8"	"30"	"1.25"	"320"	"125"	""	""
"Soraka"	"375"	"71"	"4.5"	"0.55"	"240"	"60"	"4.3"	"0.45"	"48.8"	"3"	"0.625"	"2.14%"	"7.4"	"3.8"	"30"	"0"	"310"	"550"	""	""
"Taric"	"468"	"90"	"7.1"	"0.5"	"255"	"56"	"4.1"	"0.4"	"58"	"3.5"	"0.625"	"2.02%"	"16.5"	"3.2"	"30"	"0"	"315"	"125"	""	""
"Tryndamere"	"461"	"98"	"7.9"	"0.9"	"85"	""	""	""	"56"	"3.2"	"0.644"	"2.9%"	"14.9"	"3.1"	"30"	"1.25"	"320"	"125"	""	""
"Twisted_Fate"	"384"	"82"	"4.5"	"0.6"	"202"	"38"	"6.5"	"0.5"	"46.41"	"3.3"	"0.651"	"3.22%"	"11.25"	"3.2"	"30"	"0"	"305"	"525"	""	""
"Udyr"	"427"	"99"	"7.45"	"0.75"	"220"	"30"	"6.4"	"0.45"	"52.91"	"3.2"	"0.658"	"2.67%"	"14.75"	"4"	"30"	"1.25"	"320"	"125"	""	""
"Volibear"	"440"	"86"	"7.0"	"0.65"	"220"	"30"	"7.0"	"0.65"	"54"	"3.3"	"0.625"	"2.9%"	"16.5"	"3.5"	"30"	"1.25"	"320"	"125"	""	""
"Warwick"	"428"	"98"	"7.05"	"0.8"	"190"	"30"	"7.1"	"0.6"	"56.76"	"3.375"	"0.665"	"2.88%"	"16"	"3.5"	"30"	"1.25"	"320"	"125"	""	""
"Viktor"	"385"	"78"	"6.75"	"0.65"	"240"	"50"	"6.9"	"0.45"	"49"	"3"	"0.625"	"2.11%"	"12"	"4"	"30"	""	"310"	"525"	""	""
"Vladimir"	"400"	"85"	"6.0"	"0.6"	"N/A"	""	"N/A"	""	"45"	"3"	"0.658"	"2%"	"12"	"3.5"	"30"	""	"310"	"450"	""	""
"Wukong"	"435"	"85"	"5.1"	"0.65"	"202"	"38"	"6.9"	"0.65"	"54"	"3.2"	"0.658"	"3.0%"	"15"	"3.5"	"30"	"1.25"	"320"	"175"	""	""
"Yorick"	"421"	"85"	"8.5"	"0.70"	"265"	"35"	"6.5"	"0.45"	"51.5"	"3.5"	"0.625"	"3.0%"	"18"	"3.6"	"30"	"1.25"	"320"	"125"	""	""
"Xin_Zhao"	"445"	"87"	"7.0"	"0.7"	"213"	"31"	"6.6"	"0.45"	"56"	"3.1"	"0.658"	"2.6%"	"16.2"	"3.7"	"30"	"1.25"	"320"	"175"	""	""
"Zilean"	"380"	"71"	"4.6"	"0.5"	"260"	"60"	"6.95"	"0.65"	"48.6"	"3"	"0.625"	"2%"	"6.75"	"3.8"	"30"	"0"	"310"	"600"	""	""
"Malzahar"	"380"	"80"	"4.5"	"0.55"	"250"	"45"	"7.0"	"0.6"	"51.66"	"3"	"0.625"	"1.36%"	"15"	"3.5"	"30"	"0"	"315"	"550"	""	""
"Twitch"	"356"	"78"	"5.1"	"0.65"	"180"	"35"	"3.95"	"0.25"	"51.56"	"3.15"	"0.679"	"3.38%"	"14"	"3.3"	"30"	"0"	"305"	"500"	""	""
"Blitzcrank"	"468"	"100"	"7.25"	"0.75"	"260"	"40"	"6.60"	"0.50"	"55.66"	"3.5"	"0.625"	"1.13%"	"14.5"	"3.5"	"30"	"1.25"	"300"	"125"	""	""
"Teemo"	"383"	"77"	"4.65"	"0.65"	"200"	"40"	"6.5"	"0.45"	"44.5"	"3"	"0.687"	"3.38%"	"14"	"3.75"	"30"	""	"305"	"500"	""	""
"Trundle"	"455"	"96"	"8.0"	"0.85"	"206"	"45"	"6.9"	"0.6"	"54.66"	"3"	"0.672"	"2.9%"	"19"	"2.7"	"30"	"1.25"	"325"	"125"	""	""
"Fizz"	"414"	"86"	"7.0"	"0.7"	"200"	"40"	"6.15"	"0.45"	"51"	"3"	"0.658"	"3.1%"	"13"	"3.1"	"30"	"1.25"	"310"	"175"	""	""
"Fiddlesticks"	"390"	"80"	"4.6"	"0.6"	"251"	"59"	"6.9"	"0.65"	"45.95"	"2.625"	"0.625"	"2.11%"	"11"	"3.5"	"30"	"0"	"310"	"480"	""	""
"Galio"	"435"	"85"	"7.45"	"0.75"	"235"	"50"	"7.0"	"0.7"	"56.3"	"3.375"	"0.638"	"1.2%"	"17"	"3.5"	"30"	"0"	"310"	"125"	""	""
"Ezreal"	"350"	"80"	"5.5"	"0.55"	"235"	"45"	"7.0"	"0.65"	"47.2"	"3"	"0.665"	"2.8%"	"12"	"3.5"	"30"	"0"	"305"	"550"	""	""
"Gragas"	"404"	"89"	"7.25"	"0.85"	"221"	"47"	"6.45"	"0.45"	"55.78"	"3.375"	"0.651"	"2.05%"	"16"	"2.7"	"30"	"0"	"315"	"125"	""	""
"Irelia"	"430"	"85"	"6.5"	"0.65"	"230"	"35"	"7.0"	"0.65"	"53.3"	"3.3"	"0.665"	"3.2%"	"15"	"3.75"	"30"	"1.25"	"320"	"125"	""	""
"Katarina"	"395"	"83"	"6.95"	"0.55"	"N/A"	""	"N/A"	""	"53"	"3.2"	"0.658"	"2.74%"	"14.75"	"4"	"30"	"1.25"	"325"	"125"	""	""
"Kog\'Maw"	"440"	"84"	"5"	"0.55"	"295"	"40"	"7.5"	"0.7"	"46"	"3"	"0.665"	"2.65%"	"13"	"3.53"	"30"	"0"	"305"	"500"	""	""
"LeBlanc"	"390"	"75"	"4.5"	"0.55"	"250"	"50"	"6.9"	"0.6"	"51"	"3.1"	"0.625"	"1.4%"	"12"	"3.5"	"30"	"0"	"310"	"525"	""	""
"Leona"	"430"	"87"	"9.0"	"0.85"	"235"	"40"	"8.0"	"0.70"	"55"	"3"	"0.625"	"2.9%"	"18"	"3.1"	"30"	"0"	"310"	"125"	""	""
"Kayle"	"418"	"93"	"7.0"	"0.75"	"255"	"40"	"6.9"	"0.525"	"53.3"	"2.8"	"0.638"	"2.5%"	"17"	"3.5"	"30"	"0.75"	"310"	"125"	""	""
"Morgana"	"403"	"86"	"4.7"	"0.6"	"240"	"60"	"6.8"	"0.65"	"51.58"	"3.5"	"0.579"	"1.53%"	"15"	"3.8"	"30"	""	"310"	"425"	""	""
"Rammus"	"420"	"86"	"5"	"0.55"	"255"	"33"	"4.5"	"0.3"	"55.32"	"3.5"	"0.625"	"2.22%"	"21"	"3.8"	"30"	"0"	"310"	"125"	""	""
"Renekton"	"429"	"87"	"6.7"	"0.75"	"85"	""	""	""	"53.12"	"3.1"	"0.665"	"2.65%"	"15.2"	"3.8"	"30"	"1.25"	"320"	"125"	""	""
"Ryze"	"360"	"86"	"4.35"	"0.55"	"250"	"55"	"7.0"	"0.6"	"50"	"3"	"0.625"	"2.11%"	"11"	"3.9"	"30"	"0"	"310"	"550"	""	""
"Shyvana"	"435"	"95"	"7.2"	"0.8"	"85"	""	""	""	"54.5"	"3.4"	"0.658"	"2.4%"	"17.6"	"3.4"	"30"	"1.25"	"325"	"125"	""	""
"Swain"	"385"	"78"	"6.75"	"0.65"	"240"	"50"	"6.8"	"0.65"	"49"	"3"	"0.625"	"2.11%"	"12"	"4"	"30"	""	"310"	"480"	""	""
"Talon"	"440"	"85"	"7.25"	"0.75"	"260"	"40"	"6.75"	"0.5"	"50"	"3.1"	"0.668"	"2.7%"	"15"	"3.5"	"30"	"1.25"	"325"	"125"	""	""
"Urgot"	"437"	"89"	"5.5"	"0.6"	"220"	"55"	"7.5"	"0.65"	"48"	"3.6"	"0.644"	"2.9%"	"15"	"3.3"	"30"	"0"	"310"	"425"	""	""
"Vayne"	"359"	"83"	"4.5"	"0.55"	"173"	"27"	"6.3"	"0.4"	"50"	"3.25"	"0.658"	"3.1%"	"9.3"	"3.4"	"30"	"0"	"300"	"550"	""	""
"Veigar"	"355"	"82"	"4.5"	"0.55"	"250"	"55"	"6.9"	"0.60"	"48.3"	"2.625"	"0.625"	"2.24%"	"12.25"	"3.75"	"30"	"0"	"315"	"525"	""	""
"Shaco"	"441"	"84"	"7.45"	"0.55"	"270"	"40"	"6.4"	"0.45"	"51.7"	"3.5"	"0.694"	"3.0%"	"15"	"3.5"	"30"	"1.25"	"325"	"125"	""	""
"Xerath"	"380"	"80"	"5.0"	"0.53"	"250"	"45"	"8.0"	"0.6"	"52"	"3"	"0.63"	"1.36%"	"12.6"	"3.4"	"30"	"0"	"315"	"550"	""	""
"Lux"	"345"	"79"	"4.5"	"0.55"	"250"	"50"	"5.0"	"0.6"	"50"	"3.3"	"0.625"	"1.36%"	"8"	"4"	"30"	"0"	"315"	"550"	""	""
"Tristana"	"415"	"82"	"5.1"	"0.65"	"193"	"32"	"3.95"	"0.25"	"46.5"	"3"	"0.658"	"3.01%"	"15"	"3"	"30"	"0"	"300"	"550"	""	""
"Rumble"	"450"	"80"	"7.0"	"0.7"	"85"	""	""	""	"55.66"	"3.2"	"0.644"	"1.85%"	"16"	"3.5"	"30"	"1.25"	"320"	"125"	""	""
